time,open,high,low,close,volume
2024-01-01 00:00:00,2060.0,2061.42,2059.82,2061.29,529
2024-01-01 01:00:00,2061.29,2062.31,2060.84,2061.87,295
2024-01-01 02:00:00,2061.87,2062.01,2060.27,2060.39,180
2024-01-01 03:00:00,2060.39,2060.69,2060.15,2060.31,183
2024-01-01 04:00:00,2060.31,2064.87,2059.4,2064.63,814
2024-01-01 05:00:00,2064.63,2065.32,2061.63,2062.28,852
2024-01-01 06:00:00,2062.28,2063.16,2061.51,2061.63,126
2024-01-01 07:00:00,2061.63,2061.93,2060.13,2060.76,253
2024-01-01 08:00:00,2060.76,2060.96,2060.27,2060.88,836
2024-01-01 09:00:00,2060.88,2061.01,2057.56,2058.6,432
2024-01-01 10:00:00,2058.6,2061.13,2058.2,2060.64,172
2024-01-01 11:00:00,2060.64,2061.29,2059.64,2061.16,932
2024-01-01 12:00:00,2061.16,2064.28,2061.03,2063.65,189
2024-01-01 13:00:00,2063.65,2064.17,2060.98,2061.83,910
2024-01-01 14:00:00,2061.83,2063.58,2061.06,2063.28,179
2024-01-01 15:00:00,2063.28,2065.72,2062.48,2065.24,259
2024-01-01 16:00:00,2065.24,2066.04,2063.96,2064.38,245
2024-01-01 17:00:00,2064.38,2065.38,2063.84,2064.78,389
2024-01-01 18:00:00,2064.78,2067.59,2064.76,2067.22,586
2024-01-01 19:00:00,2067.22,2067.38,2066.49,2067.0,957
2024-01-01 20:00:00,2067.0,2070.48,2066.43,2070.42,819
2024-01-01 21:00:00,2070.42,2070.64,2067.4,2067.77,850
2024-01-01 22:00:00,2067.77,2068.6,2067.11,2067.59,759
2024-01-01 23:00:00,2067.59,2071.66,2067.21,2071.48,454
2024-01-02 00:00:00,2071.48,2075.02,2071.09,2074.57,872
2024-01-02 01:00:00,2074.57,2076.94,2074.31,2076.28,544
2024-01-02 02:00:00,2076.28,2077.36,2072.33,2072.54,191
2024-01-02 03:00:00,2072.54,2072.65,2071.68,2072.47,405
2024-01-02 04:00:00,2072.47,2078.91,2072.04,2078.13,794
2024-01-02 05:00:00,2078.13,2078.34,2077.98,2078.07,745
2024-01-02 06:00:00,2078.07,2078.11,2075.96,2076.06,689
2024-01-02 07:00:00,2076.06,2076.35,2075.72,2076.0,381
2024-01-02 08:00:00,2076.0,2076.57,2075.77,2076.23,564
2024-01-02 09:00:00,2076.23,2076.71,2073.73,2074.38,232
2024-01-02 10:00:00,2074.38,2077.33,2073.93,2076.46,104
2024-01-02 11:00:00,2076.46,2076.69,2075.09,2075.13,319
2024-01-02 12:00:00,2075.13,2078.04,2074.7,2077.58,220
2024-01-02 13:00:00,2077.58,2078.14,2075.25,2075.93,384
2024-01-02 14:00:00,2075.93,2077.37,2074.94,2076.7,355
2024-01-02 15:00:00,2076.7,2077.4,2074.87,2075.13,962
2024-01-02 16:00:00,2075.13,2075.52,2074.9,2075.31,219
2024-01-02 17:00:00,2075.31,2075.51,2073.16,2074.53,169
2024-01-02 18:00:00,2074.53,2074.59,2071.26,2071.32,212
2024-01-02 19:00:00,2071.32,2071.68,2069.28,2069.62,564
2024-01-02 20:00:00,2069.62,2069.87,2068.16,2068.35,649
2024-01-02 21:00:00,2068.35,2068.46,2068.03,2068.08,774
2024-01-02 22:00:00,2068.08,2068.72,2066.98,2067.07,680
2024-01-02 23:00:00,2067.07,2067.41,2065.99,2066.57,561
2024-01-03 00:00:00,2066.57,2066.94,2064.01,2064.92,718
2024-01-03 01:00:00,2064.92,2065.89,2063.92,2065.44,430
2024-01-03 02:00:00,2065.44,2067.35,2065.43,2066.83,797
2024-01-03 03:00:00,2066.83,2067.53,2061.61,2062.28,842
2024-01-03 04:00:00,2062.28,2062.34,2061.04,2061.29,257
2024-01-03 05:00:00,2061.29,2062.48,2060.82,2062.05,884
2024-01-03 06:00:00,2062.05,2063.28,2061.96,2063.28,467
2024-01-03 07:00:00,2063.28,2063.34,2062.64,2063.1,373
2024-01-03 08:00:00,2063.1,2064.56,2063.09,2064.18,439
2024-01-03 09:00:00,2064.18,2069.32,2064.09,2069.27,640
2024-01-03 10:00:00,2069.27,2072.3,2069.24,2071.81,779
2024-01-03 11:00:00,2071.81,2074.11,2071.33,2073.84,943
2024-01-03 12:00:00,2073.84,2075.43,2073.41,2074.85,407
2024-01-03 13:00:00,2074.85,2074.92,2073.75,2074.18,871
